"SUID","annotation","database","id","instance","interaction","Interactiontype","metaid","modifiers","name","PMIDs","polarity","products","r_id","reactants","reldate","release","selected","shared interaction","shared name","shared_interaction","shared_name","source","source_alias","target","target_alias","type"
"104523","pubmed:23563312",,"57666","sa3404 -D sa2456","interacts with","interaction","re1145","s4657","dreg_HIF2a (interacts with) HIF2a",,"0.0","s4658","re1145","s10343",,,"false","interacts with","dreg_HIF2a (interacts with) HIF2a","interacts with","dreg_HIF2a (interacts with) HIF2a","56017",,"55533",,"STATE_TRANSITION"
"104524","pubmed:15134335|pubmed:23563312",,"57665","sa3404 -D sa2461","interacts with","interaction","re1143","s4657|s4653","dreg_HIF2a (interacts with) HIF2a|_hyd",,"0.0","s4659","re1143","s10343",,,"false","interacts with","dreg_HIF2a (interacts with) HIF2a|_hyd","interacts with","dreg_HIF2a (interacts with) HIF2a|_hyd","56017",,"55625",,"STATE_TRANSITION"
"104525","pubmed:18545270|pubmed:18545270",,"57664","csa231 -D sa1552","interacts with","interaction","re722","","TNFalpha/TNFR1/TRADD/FADD/Pro Caspase 8 (interacts with)   Caspase 8|active  ",,"0.0","s2547|s2094","re722","s2541",,,"false","interacts with","TNFalpha/TNFR1/TRADD/FADD/Pro Caspase 8 (interacts with)   Caspase 8|active  ","interacts with","TNFalpha/TNFR1/TRADD/FADD/Pro Caspase 8 (interacts with)   Caspase 8|active  ","56016",,"56825",,"DISSOCIATION"
"104526","pubmed:18545270|pubmed:18545270",,"57663","csa231 -D csa232","interacts with","interaction","re722","","TNFalpha/TNFR1/TRADD/FADD/Pro Caspase 8 (interacts with) TNFalpha/TNFR1/TRADD/FADD",,"0.0","s2547|s2094","re722","s2541",,,"false","interacts with","TNFalpha/TNFR1/TRADD/FADD/Pro Caspase 8 (interacts with) TNFalpha/TNFR1/TRADD/FADD","interacts with","TNFalpha/TNFR1/TRADD/FADD/Pro Caspase 8 (interacts with) TNFalpha/TNFR1/TRADD/FADD","56016",,"55654",,"DISSOCIATION"
"104527","",,"57662","sa1826 -D sa1850","interacts with","interaction","re868","","TFAP2C (interacts with)  TFAP2C ",,"0.0","s3071","re868","s3048",,,"false","interacts with","TFAP2C (interacts with)  TFAP2C ","interacts with","TFAP2C (interacts with)  TFAP2C ","56015",,"55500",,"TRANSCRIPTION"
"104528","",,"57661","sa3155 -D sa3070","interacts with","interaction","re1491","","   BIM    (interacts with) BIM",,"0.0","s7844","re1491","s7844",,,"false","interacts with","   BIM    (interacts with) BIM","interacts with","   BIM    (interacts with) BIM","56014",,"56652",,"TRANSPORT"
"104529","pubmed:22684365|pubmed:20805990",,"57660","sa1825 -D sa1851","interacts with","interaction","re1264","s2384|s3407","TFAP2A (interacts with) AP-2",,"0.0","s3072","re1264","s3047",,,"false","interacts with","TFAP2A (interacts with) AP-2","interacts with","TFAP2A (interacts with) AP-2","56013",,"56255",,"TRANSCRIPTION"
"104530","pubmed:17377525",,"57659","sa3380 -D sa1220","interacts with","interaction","re596","","dreg_Apaf1 (interacts with) ADP",,"0.0","s2049|s2045","re596","s2048|s10324|s9294",,,"false","interacts with","dreg_Apaf1 (interacts with) ADP","interacts with","dreg_Apaf1 (interacts with) ADP","56012",,"55754",,"HETERODIMER_ASSOCIATION"
"104531","pubmed:17377525",,"57658","sa3380 -D csa167","interacts with","interaction","re596","","dreg_Apaf1 (interacts with) Apaf-1/Cytochrome C",,"0.0","s2049|s2045","re596","s2048|s10324|s9294",,,"false","interacts with","dreg_Apaf1 (interacts with) Apaf-1/Cytochrome C","interacts with","dreg_Apaf1 (interacts with) Apaf-1/Cytochrome C","56012",,"56719",,"HETERODIMER_ASSOCIATION"
"104532","",,"57657","sa2957 -D sa2958","interacts with","interaction","re1402",""," RAB27a  (interacts with)   RAB27a  ",,"0.0","s6727","re1402","s6726",,,"false","interacts with"," RAB27a  (interacts with)   RAB27a  ","interacts with"," RAB27a  (interacts with)   RAB27a  ","56011",,"56790",,"TRANSPORT"
"104533","pubmed:24072884|pubmed:24072884",,"57656","sa1145 -o sa1147","interacts with","stimulation","re562","s1947","LIMK|_pho|active (interacts with) Cofilin|_pho",,"1.0","s1949","re562","s1948",,,"false","interacts with","LIMK|_pho|active (interacts with) Cofilin|_pho","interacts with","LIMK|_pho|active (interacts with) Cofilin|_pho","56010",,"55466",,"CATALYSIS"
"104534","pubmed:18417445",,"57655","sa1900 -D sa1148","interacts with","interaction","re1185","","dreg_miR-221 (interacts with) Cell migration",,"0.0","s1950","re1185","s3151",,,"false","interacts with","dreg_miR-221 (interacts with) Cell migration","interacts with","dreg_miR-221 (interacts with) Cell migration","56009",,"55913",,"STATE_TRANSITION"
"104535","pubmed:23360785",,"57654","sa1900 -I sa1876","interacts with","inhibition","re859","s3151","dreg_miR-221 (interacts with) p27KIP",,"-1.0","s3098","re859","s3087",,,"false","interacts with","dreg_miR-221 (interacts with) p27KIP","interacts with","dreg_miR-221 (interacts with) p27KIP","56009",,"56034",,"INHIBITION"
"104536","pubmed:18417445",,"57653","sa1900 -D sa1472","interacts with","interaction","re1184","","dreg_miR-221 (interacts with) Increased invasive potential",,"0.0","s2424","re1184","s3151",,,"false","interacts with","dreg_miR-221 (interacts with) Increased invasive potential","interacts with","dreg_miR-221 (interacts with) Increased invasive potential","56009",,"56241",,"STATE_TRANSITION"
"104537","pubmed:18417445",,"57652","sa1900 -D sa2148","interacts with","interaction","re1181","","dreg_miR-221 (interacts with) Cellular proliferation",,"0.0","Proliferation","re1181","s3151",,,"false","interacts with","dreg_miR-221 (interacts with) Cellular proliferation","interacts with","dreg_miR-221 (interacts with) Cellular proliferation","56009",,"56725",,"STATE_TRANSITION"
"104538","pubmed:23360785|pubmed:23360785|pubmed:23360785|pubmed:23360785",,"57651","sa1900 -I sa1892","interacts with","inhibition","re882","s3115|s3151|s3152|s3153","dreg_miR-221 (interacts with)   c-Kit  ",,"-1.0","s3114","re882","s3112",,,"false","interacts with","dreg_miR-221 (interacts with)   c-Kit  ","interacts with","dreg_miR-221 (interacts with)   c-Kit  ","56009",,"55795",,"INHIBITION"
"104539","pubmed:12789291",,"57650","sa1723 -D sa1734","interacts with","interaction","re773","s2804","BIRC3 (interacts with)   c-IAP  ",,"0.0","s2836","re773","s2831",,,"false","interacts with","BIRC3 (interacts with)   c-IAP  ","interacts with","BIRC3 (interacts with)   c-IAP  ","56008",,"55744",,"TRANSCRIPTION"
"104540","pubmed:18431400",,"57649","sa506 -D sa518","interacts with","interaction","re293","s695","BIRC5 (interacts with) mRNA_BIRC5",,"0.0","s731","re293","s719",,,"false","interacts with","BIRC5 (interacts with) mRNA_BIRC5","interacts with","BIRC5 (interacts with) mRNA_BIRC5","56007",,"56351",,"TRANSCRIPTION"
"104541","pubmed:25111671",,"57648","sa1803 -D sa1804","interacts with","interaction","re829","s2892","BIRC7 (interacts with)  BIRC7 ",,"0.0","s2999","re829","s2998",,,"false","interacts with","BIRC7 (interacts with)  BIRC7 ","interacts with","BIRC7 (interacts with)  BIRC7 ","56006",,"55580",,"TRANSCRIPTION"
"104542","pubmed:25111671|pubmed:20444197|pubmed:10480898",,"57647","sa1762 -D sa1786","interacts with","interaction","re813","s2892|s5774|s5843","TYRP1 (interacts with)  TYRP1 ",,"0.0","s2950","re813","s2926",,,"false","interacts with","TYRP1 (interacts with)  TYRP1 ","interacts with","TYRP1 (interacts with)  TYRP1 ","56005",,"56664",,"TRANSCRIPTION"
"104543","pubmed:22684365",,"57646","sa997 -D sa2237","interacts with","interaction","re1274","","   MCAM    (interacts with) Metastatic phenotype",,"0.0","s4074","re1274","s1677",,,"false","interacts with","   MCAM    (interacts with) Metastatic phenotype","interacts with","   MCAM    (interacts with) Metastatic phenotype","56004",,"56384",,"STATE_TRANSITION"
"104544","",,"57645","sa2969 -D sa2972","interacts with","interaction","re1414",""," EZH2  (interacts with)   EZH2  ",,"0.0","s6868","re1414","s6865",,,"false","interacts with"," EZH2  (interacts with)   EZH2  ","interacts with"," EZH2  (interacts with)   EZH2  ","56003",,"56822",,"TRANSPORT"
"104545","pubmed:15339050",,"57644","sa1469 -D sa1331","interacts with","interaction","re1015","","s2405 (interacts with) Melanoma progression",,"0.0","s2186","re1015","s2405|s3746",,,"false","interacts with","s2405 (interacts with) Melanoma progression","interacts with","s2405 (interacts with) Melanoma progression","56002",,"56343",,"BOOLEAN_LOGIC_GATE"
"104546","pubmed:16358819",,"57643","sa1469 -D sa1310","interacts with","interaction","re1007","","s2405 (interacts with) Loss of E-Cadherin",,"0.0","s2154","re1007","s2405|s3746",,,"false","interacts with","s2405 (interacts with) Loss of E-Cadherin","interacts with","s2405 (interacts with) Loss of E-Cadherin","56002",,"56075",,"BOOLEAN_LOGIC_GATE"
"104547","pubmed:16358819",,"57642","sa1469 -D sa1330","interacts with","interaction","re1013","","s2405 (interacts with) Escape of keratinocyte control",,"0.0","s2185","re1013","s2405|s3746",,,"false","interacts with","s2405 (interacts with) Escape of keratinocyte control","interacts with","s2405 (interacts with) Escape of keratinocyte control","56002",,"55790",,"BOOLEAN_LOGIC_GATE"
"104548","pubmed:23164545|pubmed:18426405",,"57641","csa355 -D csa363","interacts with","interaction","re1219","","TGF_beta_R2/TGF_beta_R1/Smad7/SMURF (interacts with)   TGF_beta_R2/TGF_beta_R1/Smad7/SMURF  ",,"0.0","s5184","re1219","s5001|s5181",,,"false","interacts with","TGF_beta_R2/TGF_beta_R1/Smad7/SMURF (interacts with)   TGF_beta_R2/TGF_beta_R1/Smad7/SMURF  ","interacts with","TGF_beta_R2/TGF_beta_R1/Smad7/SMURF (interacts with)   TGF_beta_R2/TGF_beta_R1/Smad7/SMURF  ","56000",,"55587",,"STATE_TRANSITION"
"104549","",,"57640","sa3294 -D sa3295","interacts with","interaction","re1289","s2355","   PI3K    (interacts with)  PI3K|active ",,"0.0","s9081","re1289","s9081",,,"false","interacts with","   PI3K    (interacts with)  PI3K|active ","interacts with","   PI3K    (interacts with)  PI3K|active ","55997",,"56303",,"STATE_TRANSITION"
"104550","pubmed:19283671|pubmed:19283671|pubmed:17016424|pubmed:17016424|drugbank:DB08896|drugbank:DB08875|drugbank:DB04868|drugbank:DB00619|drugbank:DB01268|drugbank:DB01254|drugbank:DB06589|drugbank:DB08901",,"57639","sa3035 -I csa195","interacts with","inhibition","re670","s7282|s7357|s7359|s7365|s7366|s7434|s7435|s7436|s7437|s8521","Pazopanib (interacts with) SCF/KIT/GRB2/SOS/SHC",,"-1.0","s10239","re670","s55|s2263|s17|s2265",,,"false","interacts with","Pazopanib (interacts with) SCF/KIT/GRB2/SOS/SHC","interacts with","Pazopanib (interacts with) SCF/KIT/GRB2/SOS/SHC","55996",,"55735",,"INHIBITION"
"104551","pubmed:19283671|pubmed:17016424|drugbank:DB08896|drugbank:DB08875|drugbank:DB04868|drugbank:DB00619|drugbank:DB01268|drugbank:DB01254|drugbank:DB06589|drugbank:DB08901|pubmed:24718867",,"57638","sa3035 -I csa198","interacts with","inhibition","re671","s7282|s7357|s7359|s7365|s7366|s7434|s7435|s7436|s7437|s8521","Pazopanib (interacts with) SCF/c-KT/PI3K|active",,"-1.0","s10245","re671","s2263|s9081|s2265",,,"false","interacts with","Pazopanib (interacts with) SCF/c-KT/PI3K|active","interacts with","Pazopanib (interacts with) SCF/c-KT/PI3K|active","55996",,"56130",,"INHIBITION"
"104552","",,"57637","sa554 -D sa555","interacts with","interaction","re329","","mRNA_p14ARF (interacts with)  mRNA_p14ARF ",,"0.0","s3437","re329","s774",,,"false","interacts with","mRNA_p14ARF (interacts with)  mRNA_p14ARF ","interacts with","mRNA_p14ARF (interacts with)  mRNA_p14ARF ","55995",,"55672",,"TRANSPORT"
"104553","pubmed:17898809|pubmed:15229476|pubmed:15986140|pubmed:17186030|pubmed:23383308",,"57636","sa3400 -D csa323","interacts with","interaction","re1064","s8523","  dreg_IGF1R   (interacts with) IGF/IGF1R/SRC|active",,"0.0","s8944","re1064","s10315|s2299|s3853",,,"false","interacts with","  dreg_IGF1R   (interacts with) IGF/IGF1R/SRC|active","interacts with","  dreg_IGF1R   (interacts with) IGF/IGF1R/SRC|active","55994",,"56265",,"HETERODIMER_ASSOCIATION"
"104554","pubmed:15229476|pubmed:17898809|pubmed:15986140|pubmed:17186030|pubmed:23383308",,"57635","sa3400 -D csa324","interacts with","interaction","re1065","s8523","  dreg_IGF1R   (interacts with) IGF/IGF1R/JAK|active",,"0.0","s8948","re1065","s3854|s10315|s2299",,,"false","interacts with","  dreg_IGF1R   (interacts with) IGF/IGF1R/JAK|active","interacts with","  dreg_IGF1R   (interacts with) IGF/IGF1R/JAK|active","55994",,"56580",,"HETERODIMER_ASSOCIATION"
"104555","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"57634","csa204 -o sa26","interacts with","stimulation","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059","IGF/IGF1R/SHC/GRB2/Sos (interacts with) RAS|active",,"1.0","s23|s38","re18","s22|s37",,,"false","interacts with","IGF/IGF1R/SHC/GRB2/Sos (interacts with) RAS|active","interacts with","IGF/IGF1R/SHC/GRB2/Sos (interacts with) RAS|active","55993",,"55867",,"CATALYSIS"
"104556","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"57633","csa204 -o sa28","interacts with","stimulation","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059","IGF/IGF1R/SHC/GRB2/Sos (interacts with) GDP",,"1.0","s23|s38","re18","s22|s37",,,"false","interacts with","IGF/IGF1R/SHC/GRB2/Sos (interacts with) GDP","interacts with","IGF/IGF1R/SHC/GRB2/Sos (interacts with) GDP","55993",,"56460",,"CATALYSIS"
"104557","",,"57632","csa419 -D csa435","interacts with","interaction","re1466","","Bid/Bcl-2 (interacts with) BCL-2/BAD",,"0.0","s1993|s2096","re1466","s470|s7918",,,"false","interacts with","Bid/Bcl-2 (interacts with) BCL-2/BAD","interacts with","Bid/Bcl-2 (interacts with) BCL-2/BAD","55992",,"56708",,"DISSOCIATION"
"104558","",,"57631","csa419 -D sa3130","interacts with","interaction","re1466","","Bid/Bcl-2 (interacts with)    Bid   ",,"0.0","s1993|s2096","re1466","s470|s7918",,,"false","interacts with","Bid/Bcl-2 (interacts with)    Bid   ","interacts with","Bid/Bcl-2 (interacts with)    Bid   ","55992",,"56650",,"DISSOCIATION"
"104559","pubmed:12207176|pubmed:12207176|pubmed:12207176|pubmed:18545270|pubmed:18545270|pubmed:18314333",,"57630","csa419 -I sa1206","interacts with","inhibition","re625","s2094|s2095|s2094|s2094|s9276|s7916|s7918|s7915|s10115","Bid/Bcl-2 (interacts with) tBid|active",,"-1.0","s2036","re625","s2096",,,"false","interacts with","Bid/Bcl-2 (interacts with) tBid|active","interacts with","Bid/Bcl-2 (interacts with) tBid|active","55992",,"56320",,"INHIBITION"
"104560","",,"57629","sa143 -D sa138","interacts with","interaction","re70",""," mRNA_Jun  (interacts with)   Jun  ",,"0.0","s202","re70","s206",,,"false","interacts with"," mRNA_Jun  (interacts with)   Jun  ","interacts with"," mRNA_Jun  (interacts with)   Jun  ","55991",,"56522",,"TRANSLATION"
"104561","pubmed:12775774|pubmed:12105428",,"57628","csa370 -D csa371","interacts with","interaction","re1263","","DKK-1/Frizzled/LRP5/6 (interacts with) DKK-1/LRP5/6",,"0.0","s5548|s5556","re1263","s5553",,,"false","interacts with","DKK-1/Frizzled/LRP5/6 (interacts with) DKK-1/LRP5/6","interacts with","DKK-1/Frizzled/LRP5/6 (interacts with) DKK-1/LRP5/6","55989",,"55582",,"DISSOCIATION"
"104562","pubmed:12775774|pubmed:12105428",,"57627","csa370 -D sa2653","interacts with","interaction","re1263","","DKK-1/Frizzled/LRP5/6 (interacts with) Frizzled",,"0.0","s5548|s5556","re1263","s5553",,,"false","interacts with","DKK-1/Frizzled/LRP5/6 (interacts with) Frizzled","interacts with","DKK-1/Frizzled/LRP5/6 (interacts with) Frizzled","55989",,"55697",,"DISSOCIATION"
"104563","pubmed:16493410",,"57626","sa2899 -D csa409","interacts with","interaction","re1386","","ILK (interacts with) PINCH/parvin/ILK",,"0.0","s6455","re1386","s6453|s6452|s6451",,,"false","interacts with","ILK (interacts with) PINCH/parvin/ILK","interacts with","ILK (interacts with) PINCH/parvin/ILK","55988",,"56159",,"HETERODIMER_ASSOCIATION"
"104564","pubmed:21893020",,"57625","sa2978 -I sa3428","interacts with","inhibition","re1042","s6936","dreg_miR-193b (interacts with)  dreg_MCL-1 ",,"-1.0","s10319","re1042","s3934",,,"false","interacts with","dreg_miR-193b (interacts with)  dreg_MCL-1 ","interacts with","dreg_miR-193b (interacts with)  dreg_MCL-1 ","55987",,"56415",,"INHIBITION"
"104565","pubmed:20304954",,"57624","sa2978 -D sa2979","interacts with","inhibition","re1428","","dreg_miR-193b (interacts with)  Cellular proliferation ",,"-1.0","Proliferation","re1428","s6936",,,"false","interacts with","dreg_miR-193b (interacts with)  Cellular proliferation ","interacts with","dreg_miR-193b (interacts with)  Cellular proliferation ","55987",,"56127",,"NEGATIVE_INFLUENCE"
"104566","pubmed:24289491|pubmed:23360785|pubmed:18379589",,"57623","sa2978 -I sa3388","interacts with","inhibition","CDMT00129","s3159|s6936|s6952","dreg_miR-193b (interacts with) dreg_Cyclin D1",,"-1.0","s10330","re104","s243",,,"false","interacts with","dreg_miR-193b (interacts with) dreg_Cyclin D1","interacts with","dreg_miR-193b (interacts with) dreg_Cyclin D1","55987",,"55779",,"INHIBITION"
"104567","",,"57622","sa2614 -D sa2615","interacts with","interaction","re1225","","  CDKN2B/p15   (interacts with)    CDKN2B/p15   ",,"0.0","s5197","re1225","s5196",,,"false","interacts with","  CDKN2B/p15   (interacts with)    CDKN2B/p15   ","interacts with","  CDKN2B/p15   (interacts with)    CDKN2B/p15   ","55984",,"55509",,"TRANSLATION"
"104568","pubmed:18417445",,"57621","sa1901 -D sa1148","interacts with","interaction","re1186","","dreg_miR-222 (interacts with) Cell migration",,"0.0","s1950","re1186","s3152",,,"false","interacts with","dreg_miR-222 (interacts with) Cell migration","interacts with","dreg_miR-222 (interacts with) Cell migration","55983",,"55913",,"STATE_TRANSITION"
"104569","pubmed:18417445",,"57620","sa1901 -D sa1472","interacts with","interaction","re1183","","dreg_miR-222 (interacts with) Increased invasive potential",,"0.0","s2424","re1183","s3152",,,"false","interacts with","dreg_miR-222 (interacts with) Increased invasive potential","interacts with","dreg_miR-222 (interacts with) Increased invasive potential","55983",,"56241",,"STATE_TRANSITION"
"104570","pubmed:18417445",,"57619","sa1901 -D sa2148","interacts with","interaction","re1182","","dreg_miR-222 (interacts with) Cellular proliferation",,"0.0","Proliferation","re1182","s3152",,,"false","interacts with","dreg_miR-222 (interacts with) Cellular proliferation","interacts with","dreg_miR-222 (interacts with) Cellular proliferation","55983",,"56725",,"STATE_TRANSITION"
"104571","pubmed:23360785|pubmed:23360785|pubmed:23360785|pubmed:23360785",,"57618","sa1901 -I sa1892","interacts with","inhibition","re882","s3115|s3151|s3152|s3153","dreg_miR-222 (interacts with)   c-Kit  ",,"-1.0","s3114","re882","s3112",,,"false","interacts with","dreg_miR-222 (interacts with)   c-Kit  ","interacts with","dreg_miR-222 (interacts with)   c-Kit  ","55983",,"55795",,"INHIBITION"
"104572","pubmed:19401874",,"57617","sa2777 -D sa2779","interacts with","interaction","re1320","s5843","ST8SIA2 (interacts with) STX",,"0.0","s6050","re1320","s6048",,,"false","interacts with","ST8SIA2 (interacts with) STX","interacts with","ST8SIA2 (interacts with) STX","55982",,"55856",,"TRANSCRIPTION"
"104573","",,"57616","sa1741 -D sa1733","interacts with","interaction","re785","","   TRAF1    (interacts with)  TRAF1 ",,"0.0","s2835","re785","s2843",,,"false","interacts with","   TRAF1    (interacts with)  TRAF1 ","interacts with","   TRAF1    (interacts with)  TRAF1 ","55980",,"56811",,"TRANSLATION"
"104574","pubmed:22189424",,"57615","sa3219 -D sa3221","interacts with","interaction","re1503","s8367"," RAS|_don  (interacts with)   RAS|_don  ",,"0.0","s8361","re1503","s8361",,,"false","interacts with"," RAS|_don  (interacts with)   RAS|_don  ","interacts with"," RAS|_don  (interacts with)   RAS|_don  ","55979",,"56529",,"STATE_TRANSITION"
"104575","pubmed:15372092|pubmed:14964308|pubmed:11224709|pubmed:16297704",,"57614","csa81 -o csa76","interacts with","stimulation","re365","s1037|s2183|s1428"," Frizzled/LRP5/6  (interacts with)    AXIN/APC/GSK/_beta_-Catenin    ",,"1.0","s1413","re365","s950|s3394",,,"false","interacts with"," Frizzled/LRP5/6  (interacts with)    AXIN/APC/GSK/_beta_-Catenin    ","interacts with"," Frizzled/LRP5/6  (interacts with)    AXIN/APC/GSK/_beta_-Catenin    ","55978",,"55899",,"CATALYSIS"
"104576","pubmed:15372092|pubmed:12775774|pubmed:25109840|pubmed:25109840|pubmed:25109840|pubmed:12775774|pubmed:12105428",,"57613","csa81 -D csa82","interacts with","interaction","re380","s1059|s5556"," Frizzled/LRP5/6  (interacts with) WNT/Frizzled/LRP5/6|active",,"0.0","s1037","re380","s2101|s1028|s2102|s1417|s1428",,,"false","interacts with"," Frizzled/LRP5/6  (interacts with) WNT/Frizzled/LRP5/6|active","interacts with"," Frizzled/LRP5/6  (interacts with) WNT/Frizzled/LRP5/6|active","55978",,"56639",,"HETERODIMER_ASSOCIATION"
"104577","pubmed:16921404",,"57612","csa122 -D sa861","interacts with","interaction","re469","","Jagged/Notch/ADAM10/Presenilin 1/2/Nicastrin/PEN2/APH1 (interacts with) NOTCH icd",,"0.0","s1659|s1331","re469","s10092",,,"false","interacts with","Jagged/Notch/ADAM10/Presenilin 1/2/Nicastrin/PEN2/APH1 (interacts with) NOTCH icd","interacts with","Jagged/Notch/ADAM10/Presenilin 1/2/Nicastrin/PEN2/APH1 (interacts with) NOTCH icd","55977",,"56796",,"DISSOCIATION"
"104578","pubmed:16921404",,"57611","csa122 -D csa127","interacts with","interaction","re469","","Jagged/Notch/ADAM10/Presenilin 1/2/Nicastrin/PEN2/APH1 (interacts with) Jagged/Notch",,"0.0","s1659|s1331","re469","s10092",,,"false","interacts with","Jagged/Notch/ADAM10/Presenilin 1/2/Nicastrin/PEN2/APH1 (interacts with) Jagged/Notch","interacts with","Jagged/Notch/ADAM10/Presenilin 1/2/Nicastrin/PEN2/APH1 (interacts with) Jagged/Notch","55977",,"56677",,"DISSOCIATION"
"104579","",,"57610","sa1708 -D sa1710","interacts with","interaction","re762",""," pro-TNFa  (interacts with)   pro-TNFa  ",,"0.0","s2817","re762","s2815",,,"false","interacts with"," pro-TNFa  (interacts with)   pro-TNFa  ","interacts with"," pro-TNFa  (interacts with)   pro-TNFa  ","55976",,"55904",,"TRANSPORT"
"104580","pubmed:24330305|pubmed:14570040",,"57609","sa871 -D csa126","interacts with","interaction","re480",""," Jagged  (interacts with)  NOTCH ",,"0.0","s10290","re480","s10099|s1304|s1337",,,"false","interacts with"," Jagged  (interacts with)  NOTCH ","interacts with"," Jagged  (interacts with)  NOTCH ","55974",,"56296",,"HETERODIMER_ASSOCIATION"
"104581","pubmed:14964308|pubmed:14964308",,"57608","sa1357 -D sa1358","interacts with","interaction","re645","s365","TIAM1 (interacts with) TIAM1|active",,"0.0","s2217","re645","s2217",,,"false","interacts with","TIAM1 (interacts with) TIAM1|active","interacts with","TIAM1 (interacts with) TIAM1|active","55973",,"56062",,"STATE_TRANSITION"
"104582","",,"57607","sa1701 -D sa1702","interacts with","interaction","re751",""," IL-6  (interacts with)   IL-6  ",,"0.0","s2809","re751","s2808",,,"false","interacts with"," IL-6  (interacts with)   IL-6  ","interacts with"," IL-6  (interacts with)   IL-6  ","55972",,"56250",,"TRANSPORT"
"104583","pubmed:21896753",,"57606","sa1864 -D sa1877","interacts with","interaction","re860","s3160","  GSK3a   (interacts with)    GSK3a   ",,"0.0","s3099","re860","s3085",,,"false","interacts with","  GSK3a   (interacts with)    GSK3a   ","interacts with","  GSK3a   (interacts with)    GSK3a   ","55971",,"56638",,"TRANSLATION"
"104584","pubmed:22134240",,"57605","sa342 -o sa339","interacts with","stimulation","re200","s516|s517|s519|s518","p300/CBP (interacts with) p53|_ubi|_ubi",,"1.0","s504","re200","s503",,,"false","interacts with","p300/CBP (interacts with) p53|_ubi|_ubi","interacts with","p300/CBP (interacts with) p53|_ubi|_ubi","55970",,"55853",,"CATALYSIS"
"104585","pubmed:12209155|drugbank:DB00786",,"57604","sa2816 -D sa2817","interacts with","interaction","re1356","s6158|s7586","    MMP-1     (interacts with) MMP-1|active",,"0.0","s6156","re1356","s6156",,,"false","interacts with","    MMP-1     (interacts with) MMP-1|active","interacts with","    MMP-1     (interacts with) MMP-1|active","55969",,"56706",,"STATE_TRANSITION"
"104586","pubmed:20621483|drugbank:DB08912|drugbank:DB00398|pubmed:17016424|drugbank:DB08896|pubmed:25476894|drugbank:DB05190|pubmed:22578192",,"57603","sa3254 -I sa108","interacts with","inhibition","re52","s181|s7279|s7282|s7357|s8355|s8593","MLN2480  (interacts with) RAF|hm2|_pho|active",,"-1.0","s174","re52","s171",,,"false","interacts with","MLN2480  (interacts with) RAF|hm2|_pho|active","interacts with","MLN2480  (interacts with) RAF|hm2|_pho|active","55968",,"56450",,"INHIBITION"
"104587","",,"57602","sa721 -D sa740","interacts with","interaction","re415",""," TWIST1  (interacts with)   TWIST1  ",,"0.0","s1144","re415","s1116",,,"false","interacts with"," TWIST1  (interacts with)   TWIST1  ","interacts with"," TWIST1  (interacts with)   TWIST1  ","55967",,"56365",,"TRANSPORT"
"104588","",,"57601","sa2988 -D sa2989","interacts with","interaction","re1440","","Integrin _beta_3 (interacts with)  Integrin _beta_3 ",,"0.0","s6946","re1440","s6945",,,"false","interacts with","Integrin _beta_3 (interacts with)  Integrin _beta_3 ","interacts with","Integrin _beta_3 (interacts with)  Integrin _beta_3 ","55966",,"55727",,"TRANSCRIPTION"
"104589","pubmed:11988768|pubmed:23403721|pubmed:20414202|pubmed:12094235",,"57600","sa1079 -D sa1080","interacts with","interaction","re529","s1286|s4553"," PtdIns(4,5)P2  (interacts with) DAG",,"0.0","s1845|s1844","re529","s364",,,"false","interacts with"," PtdIns(4,5)P2  (interacts with) DAG","interacts with"," PtdIns(4,5)P2  (interacts with) DAG","55965",,"56837",,"STATE_TRANSITION"
"104590","pubmed:11988768|pubmed:23403721|pubmed:20414202|pubmed:12094235",,"57599","sa1079 -D sa1081","interacts with","interaction","re529","s1286|s4553"," PtdIns(4,5)P2  (interacts with) Ins(1,4,5)P3",,"0.0","s1845|s1844","re529","s364",,,"false","interacts with"," PtdIns(4,5)P2  (interacts with) Ins(1,4,5)P3","interacts with"," PtdIns(4,5)P2  (interacts with) Ins(1,4,5)P3","55965",,"56665",,"STATE_TRANSITION"
